date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls,paid_rate,cpa_contract,roas_contract,deals_ma7,paid_deals_ma7,spend_ma7
2023-10-12,53.0,3.0,1850.0,19500.0,290.71,293.0,0.05660377358490566,96.90333333333332,67.07715592858864,49.285714285714285,3.0,484.1714285714285
2023-10-13,62.0,1.0,350.0,3500.0,285.93,265.0,0.016129032258064516,285.93,12.240758227538208,50.42857142857143,2.857142857142857,468.21000000000004
2023-10-14,43.0,4.0,2850.0,28500.0,268.88,96.0,0.09302325581395349,67.22,105.99523951204999,50.57142857142857,3.4285714285714284,448.18428571428564
2023-10-15,50.0,4.0,3000.0,34000.0,299.29,115.0,0.08,74.8225,113.60219185405458,51.714285714285715,3.5714285714285716,448.6728571428571
2023-10-16,49.0,2.0,1350.0,15000.0,283.59,242.0,0.04081632653061224,141.795,52.893261398497835,51.285714285714285,3.142857142857143,397.7942857142857
2023-10-17,52.0,2.0,1000.0,11000.0,327.68,236.0,0.038461538461538464,163.84,33.5693359375,51.857142857142854,2.7142857142857144,294.63571428571424
2023-10-18,54.0,5.0,5700.0,32500.0,317.62,226.0,0.09259259259259259,63.524,102.32353126377431,51.857142857142854,3.0,296.2428571428572
2023-10-19,38.0,3.0,1300.0,14500.0,354.25,166.0,0.07894736842105263,118.08333333333333,40.93154551870148,49.714285714285715,3.0,305.32000000000005
2023-10-20,100.0,7.0,5300.0,57000.0,604.79,275.0,0.07,86.39857142857143,94.24759007258719,55.142857142857146,3.857142857142857,350.87142857142857
2023-10-21,64.0,1.0,0.0,0.0,280.74,69.0,0.015625,280.74,0.0,58.142857142857146,3.4285714285714284,352.5657142857143
2023-10-22,38.0,1.0,1000.0,11000.0,360.48,56.0,0.02631578947368421,360.48,30.514869063470925,56.42857142857143,3.0,361.3071428571428
2023-10-23,55.0,1.0,1000.0,11000.0,331.24,348.0,0.01818181818181818,331.24,33.20854969206617,57.285714285714285,2.857142857142857,368.1142857142857
2023-10-24,44.0,0.0,0.0,0.0,337.65999999999997,400.0,0.0,,0.0,56.142857142857146,2.5714285714285716,369.53999999999996
2023-10-25,44.0,4.0,1700.0,18500.0,340.8,255.0,0.09090909090909091,85.2,54.28403755868544,54.714285714285715,2.4285714285714284,372.8514285714286
2023-10-26,63.0,6.0,4550.0,44000.0,352.7,339.0,0.09523809523809523,58.78333333333333,124.75191380776864,58.285714285714285,2.857142857142857,372.63
